event_id,status,asset_id,event_label,event_description,event_start,event_end,n_rows,n_cols,n_train,n_prediction,n_healthy_train,ts_min,ts_max,ts_span_days,n_missing_cells,n_zero_cells,pct_missing,pct_zero,status_0,status_3,status_5,status_4
35,OK,53,anomaly,"Turbine had several short standstills (max 8min) with failure ""Schwingungen Umrichter Drehmomenten Level 1""",2023-09-24 00:00:00,2023-09-30 09:00:00,52615,957,51408,1207,46232,2022-09-22 00:00:00,2023-09-30 09:00:00,373,0,7317893,0.0,14.61,47176,3389,1262,788
16,OK,53,anomaly,WEC in failure - hub battery charger defect,2023-12-23 00:00:00,2024-01-06 23:50:00,53568,957,51264,2304,44775,2022-12-23 00:00:00,2024-01-07 23:50:00,380,0,7708927,0.0,15.12,45220,5440,2189,719
76,OK,53,anomaly,WEC in failure with pitch battery issues - rewiring,2023-01-08 00:00:00,2023-01-09 16:50:00,52086,957,51264,822,42801,2022-01-06 00:00:00,2023-01-11 16:50:00,370,0,7549529,0.0,15.23,43469,3731,4185,701
8,OK,50,normal,,2023-08-23 17:00:00,2023-09-06 06:30:00,54802,957,52560,2242,49256,2022-08-23 17:00:00,2023-09-08 06:30:00,380,0,7251509,0.0,13.9,51472,2806,456,68
85,OK,14,normal,,2023-01-12 13:10:00,2023-01-22 13:10:00,52417,957,50832,1585,44991,2022-01-12 13:10:00,2023-01-23 13:10:00,376,0,7644138,0.0,15.32,46552,3787,1728,350
6,OK,38,normal,,2023-12-01 22:50:00,2023-12-15 22:50:00,54865,957,52560,2305,44217,2022-12-01 22:50:00,2023-12-17 22:50:00,381,0,7795479,0.0,14.92,46335,6445,1646,439
62,OK,21,normal,,2023-11-06 11:00:00,2023-11-13 14:50:00,53448,957,52416,1032,47935,2022-11-06 11:00:00,2023-11-13 14:50:00,372,0,7624966,0.0,14.99,48961,3749,569,169
36,OK,2,normal,,2023-08-16 19:50:00,2023-08-29 21:00:00,55448,957,52560,2888,46894,2022-08-15 19:50:00,2023-09-05 21:00:00,386,175684,7215103,0.33,13.67,49741,1772,3717,218
56,OK,34,normal,,2023-07-28 05:50:00,2023-08-11 04:20:00,53416,957,51120,2296,47318,2022-07-28 05:50:00,2023-08-13 04:20:00,380,0,7512308,0.0,14.77,49460,3275,469,212
94,OK,34,normal,,2023-06-12 10:40:00,2023-06-22 10:40:00,54865,957,52128,2737,45949,2022-06-10 10:40:00,2023-06-29 10:40:00,384,0,7975815,0.0,15.27,48359,5144,1041,321
54,OK,52,normal,,2023-02-03 09:20:00,2023-02-14 09:20:00,55585,957,52560,3025,44760,2022-01-31 09:20:00,2023-02-21 09:20:00,386,0,8106929,0.0,15.32,47718,6818,521,528
43,OK,52,normal,,2023-08-17 03:10:00,2023-08-30 03:10:00,55153,957,52560,2593,42613,2022-08-14 03:10:00,2023-09-01 03:10:00,383,0,7939027,0.0,15.12,45160,6348,3377,268
50,OK,12,normal,,2023-11-05 00:00:00,2023-11-19 00:00:00,55153,957,51696,3457,47483,2022-11-02 00:00:00,2023-11-26 00:00:00,389,0,8279728,0.0,15.77,50893,3209,738,313
64,OK,15,normal,,2023-09-23 00:30:00,2023-10-03 00:30:00,54433,957,52560,1873,50135,2022-09-23 00:30:00,2023-10-06 00:30:00,378,0,6801176,0.0,13.12,51981,1251,1103,98
46,OK,16,normal,,2023-05-11 06:50:00,2023-05-25 03:30:00,55133,957,52560,2573,49895,2022-05-11 06:50:00,2023-05-29 03:30:00,382,0,6658451,0.0,12.69,52449,2052,397,235
65,OK,16,normal,,2023-11-05 04:20:00,2023-11-19 11:50:00,55918,957,52560,3358,48966,2022-11-02 04:20:00,2023-11-25 11:50:00,388,0,7792407,0.0,14.64,52286,2648,680,304
61,OK,43,normal,,2023-05-08 00:00:00,2023-05-22 00:00:00,55585,957,52560,3025,47227,2022-05-05 00:00:00,2023-05-26 00:00:00,386,0,7416786,0.0,14.02,50146,4527,740,172
93,OK,43,normal,,2023-08-02 15:50:00,2023-08-24 15:50:00,55873,957,52560,3313,46643,2022-08-01 15:50:00,2023-08-24 15:50:00,388,0,7786036,0.0,14.64,49880,4478,648,867
75,OK,44,normal,,2023-05-04 11:10:00,2023-05-23 11:10:00,56161,957,52560,3601,50221,2022-05-01 11:10:00,2023-05-26 11:10:00,390,0,7228193,0.0,13.52,53697,1890,422,152
41,OK,33,normal,,2023-01-16 05:00:00,2023-02-12 18:30:00,55666,957,51408,4258,46528,2022-01-15 05:00:00,2023-02-13 18:30:00,394,0,8583953,0.0,16.2,50718,2193,2638,117
58,OK,35,normal,,2023-10-15 08:40:00,2023-10-25 08:40:00,54433,957,52560,1873,48444,2022-10-12 08:40:00,2023-10-25 08:40:00,378,0,7005084,0.0,13.52,50301,3475,443,214
48,OK,35,normal,,2023-04-25 12:00:00,2023-05-08 12:00:00,55297,957,52560,2737,39103,2022-04-23 12:00:00,2023-05-12 12:00:00,384,0,7676677,0.0,14.58,41804,3437,9825,231
88,OK,55,normal,,2023-10-03 00:00:00,2023-10-17 00:00:00,55441,957,52560,2881,45139,2022-10-02 00:00:00,2023-10-22 00:00:00,385,0,7309620,0.0,13.85,47670,3894,3706,171
57,OK,55,normal,,2023-04-29 05:40:00,2023-05-11 05:40:00,55009,957,52560,2449,49742,2022-04-26 05:40:00,2023-05-13 05:40:00,382,0,7170423,0.0,13.69,52144,2142,578,145
32,OK,42,normal,,2023-09-29 05:20:00,2023-10-12 05:20:00,55009,957,52560,2449,47037,2022-09-29 05:20:00,2023-10-16 05:20:00,382,0,7064952,0.0,13.49,49461,4732,544,272
89,OK,5,normal,,2023-03-06 01:10:00,2023-03-19 01:10:00,54577,957,51840,2737,48111,2022-03-06 01:10:00,2023-03-25 01:10:00,384,0,7260835,0.0,13.97,50819,2787,837,134
59,OK,32,normal,,2023-02-16 00:00:00,2023-03-02 00:00:00,54865,957,52128,2737,46661,2022-02-16 00:00:00,2023-03-07 00:00:00,384,0,7676142,0.0,14.7,49377,4130,1064,294
63,OK,56,normal,,2023-07-06 23:10:00,2023-07-16 23:10:00,54865,957,52560,2305,47811,2022-07-05 23:10:00,2023-07-21 23:10:00,381,0,7392219,0.0,14.15,50097,3780,606,382
80,OK,23,normal,,2023-10-07 02:10:00,2023-10-21 10:10:00,54913,957,52560,2353,47916,2022-10-07 02:10:00,2023-10-23 10:10:00,381,0,6905177,0.0,13.21,50244,4075,476,118
37,OK,23,normal,,2023-02-28 18:00:00,2023-03-12 18:00:00,53713,957,51264,2449,43576,2022-02-26 18:00:00,2023-03-15 18:00:00,382,0,7609473,0.0,14.88,45997,6305,851,560
29,OK,13,normal,,2023-03-09 02:00:00,2023-03-23 02:00:00,54865,957,52560,2305,40816,2022-03-08 02:00:00,2023-03-24 02:00:00,381,0,8530825,0.0,16.33,43098,10692,553,522
1,OK,53,normal,,2023-10-02 00:00:00,2023-10-13 00:00:00,53569,957,51408,2161,45143,2022-10-01 00:00:00,2023-10-16 00:00:00,380,0,7413624,0.0,14.54,47264,3375,2168,762
20,OK,53,normal,,2023-07-14 01:10:00,2023-07-24 01:10:00,54001,957,51408,2593,47269,2022-07-12 01:10:00,2023-07-30 01:10:00,383,0,7351752,0.0,14.3,49761,2036,1056,1148
60,OK,53,normal,,2023-02-17 05:30:00,2023-02-28 05:30:00,54433,957,51984,2449,41278,2022-02-14 05:30:00,2023-03-03 05:30:00,382,0,8356814,0.0,16.13,43654,9062,892,825
